ID,IATA,Airline,RATING,NUM_OF_REVIEWS
409,BK,Okay Airways,3.5 of 5 bubbles,23
410,OA,Olympic Air [NOT Olympus Airways],3.5 of 5 bubbles,939
411,WY,Oman Air,3.5 of 5 bubbles,4.531
412,8Q,Onur Air,2 of 5 bubbles,1.508
413,yy,OpenSkies [no longer operating],3.5 of 5 bubbles,110
414,6O,Orbest,3.5 of 5 bubbles,348
415,OX,Orient Thai Airlines,4 of 5 bubbles,44
416,8P,Pacific Coastal Airlines,3.5 of 5 bubbles,140
417,PK,Pakistan International Airlines,2.5 of 5 bubbles,426
418,PB,PAL Airlines (Canada),4 of 5 bubbles,21
419,8Y,Pan Pacific,-1 of 5 bubbles,0
420,P6,Pascan,4.5 of 5 bubbles,8
421,2Z,Passaredo Linhas Aereas,3 of 5 bubbles,282
422,yy,PAWA Dominicana [no longer operating],2.5 of 5 bubbles,122
423,MM,Peach Aviation,3 of 5 bubbles,1.436
424,EO,Pegas Fly,3 of 5 bubbles,223
425,PC,Pegasus Airlines,3 of 5 bubbles,5.707
426,__,Penobscot Island Air,5 of 5 bubbles,5
427,PE,People's Airline,4.5 of 5 bubbles,35
428,P9,Peruvian Airlines [no longer operating],2.5 of 5 bubbles,812
429,PR,Philippine Airlines (PAL),3.5 of 5 bubbles,4.750
430,PU,Plus Ultra Lineas Aereas,2.5 of 5 bubbles,497
431,CG,PNG Air,3 of 5 bubbles,26
432,DP,Pobeda,3 of 5 bubbles,3.238
433,PD,Porter Airlines,3.5 of 5 bubbles,1.824
434,PW,Precision Air,3 of 5 bubbles,504
435,PF,Primera Air [no longer operating],3 of 5 bubbles,1.879
436,P0,Proflight Zambia,4 of 5 bubbles,56
437,QF,Qantas,4 of 5 bubbles,19.610
438,QR,Qatar Airways,4 of 5 bubbles,30.352
439,IQ,QAZAQ AIR,2.5 of 5 bubbles,14
440,QB,Qeshm Airlines,3.5 of 5 bubbles,64
441,QW,Qingdao Airlines,4 of 5 bubbles,6
442,7H,Ravn Alaska,2.5 of 5 bubbles,66
443,__,REALtonga,2.5 of 5 bubbles,27
444,WZ,Red Wings,3.5 of 5 bubbles,527
445,RX,Regent Airways,3.5 of 5 bubbles,129
446,8N,Regional Air,3.5 of 5 bubbles,7
447,ZL,Regional Express Airlines,4 of 5 bubbles,429
448,FV,Rossiya Russian Airlines,3.5 of 5 bubbles,2.596
449,AT,Royal Air Maroc,3 of 5 bubbles,4.544
450,RW,Royal Air Philippines,-1 of 5 bubbles,0
451,BI,Royal Brunei Airlines,4 of 5 bubbles,1.070
452,RJ,Royal Jordanian,3.5 of 5 bubbles,2.068
453,DR,Ruili Airlines,3.5 of 5 bubbles,4
454,7R,RusLine,3 of 5 bubbles,146
455,WB,RwandAir,3.5 of 5 bubbles,502
456,FR,Ryanair,3 of 5 bubbles,77.397
457,S7,S7 airlines,4 of 5 bubbles,4.118
458,F2,Safarilink,4 of 5 bubbles,58
459,4Q,Safi Airways,4 of 5 bubbles,8
460,OV,SalamAir,2 of 5 bubbles,163
461,OL,Samoa Airlines,3.5 of 5 bubbles,52
462,__,San German Express,3.5 of 5 bubbles,10
463,RZ,SANSA,3 of 5 bubbles,213
464,yy,Saratov/Ivolga [no longer operating],3.5 of 5 bubbles,9
465,SK,SAS,3.5 of 5 bubbles,9.664
466,S4,SATA - Azores Airlines,3 of 5 bubbles,1.604
467,9R,SATENA Colombia,3.5 of 5 bubbles,88
468,SV,Saudia Airlines,3.5 of 5 bubbles,3.014
469,6S,SaudiGulf Airlines,3.5 of 5 bubbles,34
470,DV,SCAT Airlines,2.5 of 5 bubbles,146
471,TR,Scoot,3 of 5 bubbles,4.970
472,BB,Seaborne Airlines,2 of 5 bubbles,271
473,ER,SereneAir,4 of 5 bubbles,38
474,WV,Sevenair/AeroVIP,4.5 of 5 bubbles,8
475,D2,Severstal Air Company,4 of 5 bubbles,26
476,NL,Shaheen Air International,3.5 of 5 bubbles,33
477,SC,Shandong Airlines,3.5 of 5 bubbles,116
478,FM,Shanghai Airlines,3 of 5 bubbles,277
479,SH,Sharp Airlines,4.5 of 5 bubbles,14
480,ZH,Shenzhen Airlines,3.5 of 5 bubbles,293
481,N9,Shree,5 of 5 bubbles,1
482,3U,Sichuan Airlines,3.5 of 5 bubbles,351
483,MI,SilkAir,3.5 of 5 bubbles,2.007
484,3M,Silver Airways,2 of 5 bubbles,1.148
485,K5,Silverstone Air,3.5 of 5 bubbles,77
486,__,Simrik Airlines,2.5 of 5 bubbles,27
